date,open_price_usd,total_volume_usd,market_cap_usd
2025-10-25,0.00000717,397272271.97,3015740204.20
2025-10-26,0.00000716,211663605.15,3013829261.47
2025-10-27,0.00000734,374620652.98,3089860289.96
2025-10-28,0.00000713,393227881.42,2999057834.87
2025-10-29,0.00000699,344533120.09,2939830307.56
2025-10-30,0.00000702,471966755.55,2949470217.97
2025-10-31,0.00000643,536169355.94,2704782704.74
2025-11-01,0.00000656,337282791.67,2761471294.05
2025-11-02,0.00000669,206803373.26,2812999283.93
2025-11-03,0.00000671,208971190.89,2818801422.87
2025-11-04,0.00000571,667041450.86,2402440662.25
2025-11-05,0.00000560,757933086.27,2361383799.44
2025-11-06,0.00000577,396622276.95,2427660362.24
2025-11-07,0.00000553,380020867.22,2322703893.15
2025-11-08,0.00000618,586837332.35,2603682208.84
2025-11-09,0.00000609,354240401.45,2562463775.19
2025-11-10,0.00000607,324614800.15,2553886890.14
2025-11-11,0.00000623,397068002.25,2623737505.22
2025-11-12,0.00000583,345462227.35,2455392689.19
2025-11-13,0.00000571,264720303.68,2399474860.46
2025-11-14,0.00000544,395276531.26,2289552228.28
2025-11-15,0.00000492,549972128.08,2072360770.61
2025-11-16,0.00000498,260159254.38,2097182371.14
2025-11-17,0.00000488,347622418.74,2055070052.15
2025-11-18,0.00000470,389353352.69,1976814761.25
2025-11-19,0.00000486,352167554.03,2047911170.50
2025-11-20,0.00000475,385085960.92,1999425468.44
2025-11-21,0.00000446,475282568.69,1879577801.41
2025-11-22,0.00000411,680914080.86,1730492081.74
2025-11-23,0.00000413,334251252.41,1734650885.76
2025-11-24,0.00000416,289808499.80,1751892165.57
2025-11-25,0.00000456,411306625.08,1920041323.64
2025-11-26,0.00000458,331460860.83,1930567864.71
2025-11-27,0.00000469,334671683.04,1971896885.67
2025-11-28,0.00000471,257499306.32,1980383302.25
2025-11-29,0.00000463,313773996.22,1949478170.71
2025-11-30,0.00000457,210424335.51,1922197941.14
2025-12-01,0.00000456,210183493.56,1921271724.11
2025-12-02,0.00000406,458162812.86,1710120175.24
2025-12-03,0.00000457,449701875.58,1923329466.67
2025-12-04,0.00000482,475694896.10,2025932652.35
2025-12-05,0.00000477,376389846.95,2007020100.86
2025-12-06,0.00000438,322035063.59,1845237029.99
2025-12-07,0.00000451,211018345.01,1895887275.16
2025-12-08,0.00000442,318144331.43,1856689189.63
2025-12-09,0.00000475,487508912.83,1997367567.48
2025-12-10,0.00000496,506200960.41,2092907955.97
2025-12-11,0.00000465,519538843.50,1957222671.44
2025-12-12,0.00000459,411622175.98,1932433406.28
2025-12-13,0.00000433,357208836.37,1822945701.71
2025-12-14,0.00000439,190704166.67,1845036487.87
2025-12-15,0.00000417,253185003.53,1755799325.36
2025-12-16,0.00000406,355539858.24,1708598220.19
2025-12-17,0.00000409,330867955.70,1721376905.63
2025-12-18,0.00000390,345311186.76,1640535554.03
2025-12-19,0.00000371,432349696.61,1562360731.12
2025-12-20,0.00000411,429820606.14,1732585441.41
2025-12-21,0.00000408,196472637.01,1714738688.34
2025-12-22,0.00000402,238953228.36,1690153474.54
2025-12-23,0.00000400,311142807.07,1684073459.08
2025-12-24,0.00000394,208251234.71,1656819869.42
2025-12-25,0.00000397,180431818.80,1671667203.78
2025-12-26,0.00000389,165715839.90,1637194467.41
2025-12-27,0.00000403,201079350.43,1694862032.62
2025-12-28,0.00000419,175324965.06,1761815280.90
2025-12-29,0.00000417,174498216.46,1755696821.89
2025-12-30,0.00000407,234656229.22,1711781271.82
2025-12-31,0.00000414,194828899.78,1741418453.80
2026-01-01,0.00000403,168783662.75,1696739141.50
2026-01-02,0.00000493,551630926.37,2076299457.77
2026-01-03,0.00000600,1789527104.64,2529066213.72
2026-01-04,0.00000611,1093245066.78,2567234583.83
2026-01-05,0.00000715,1648214846.60,3003925221.92
2026-01-06,0.00000701,1180805569.37,2949515056.47
2026-01-07,0.00000673,948101016.71,2818254520.59
2026-01-08,0.00000656,926809916.03,2757549937.91
